Gene ID,Gene name,P-value (D5 vs Control),FDR step up (D5 vs Control),Ratio (D5 vs Control),Fold change (D5 vs Control),LSMean(D5) (D5 vs Control),LSMean(Control) (D5 vs Control)
Jph3,Jph3,4.66E-02,2.41E-01,2.23E+00,2.23E+00,4.24E+01,1.90E+01
Jph4,Jph4,9.77E-01,9.93E-01,9.90E-01,-1.01E+00,3.74E+01,3.77E+01
Jpt1,Jpt1,3.30E-02,1.99E-01,7.08E-01,-1.41E+00,1.74E+03,2.45E+03
Jpt2,Jpt2,4.00E-01,6.99E-01,1.22E+00,1.22E+00,1.60E+02,1.31E+02
Jpx,Jpx,9.67E-01,9.89E-01,1.02E+00,1.02E+00,5.22E+01,5.14E+01
Jrk,Jrk,9.78E-01,9.93E-01,9.93E-01,-1.01E+00,6.75E+01,6.80E+01
Jrkl,Jrkl,7.04E-01,8.82E-01,9.40E-01,-1.06E+00,1.68E+02,1.79E+02
Jsrp1,Jsrp1,9.39E-01,9.79E-01,9.82E-01,-1.02E+00,9.62E+01,9.80E+01
Jtb,Jtb,9.80E-01,9.94E-01,1.00E+00,1.00E+00,3.01E+02,3.00E+02
Jun,Jun,8.90E-01,9.61E-01,9.69E-01,-1.03E+00,9.76E+04,1.01E+05
Junb,Junb,9.57E-01,9.85E-01,9.92E-01,-1.01E+00,3.62E+04,3.65E+04
Jund,Jund,6.34E-01,8.46E-01,1.06E+00,1.06E+00,1.91E+04,1.80E+04
Junos,Junos,6.62E-02,2.94E-01,5.80E-01,-1.72E+00,3.98E+01,6.86E+01
Jup,Jup,7.25E-01,8.92E-01,9.49E-01,-1.05E+00,2.68E+03,2.82E+03
K230015D01Rik,K230015D01Rik,3.86E-01,6.90E-01,5.89E-01,-1.70E+00,9.77E+00,1.66E+01
Kalrn,Kalrn,6.00E-03,7.20E-02,1.71E+00,1.71E+00,9.31E+02,5.44E+02
Kank1,Kank1,3.61E-01,6.69E-01,8.88E-01,-1.13E+00,8.74E+02,9.85E+02
Kank2,Kank2,3.01E-02,1.90E-01,1.28E+00,1.28E+00,2.53E+03,1.98E+03
Kank3,Kank3,6.25E-01,8.43E-01,1.10E+00,1.10E+00,2.77E+02,2.51E+02
Kank4,Kank4,6.39E-01,8.48E-01,8.51E-01,-1.18E+00,8.24E+01,9.69E+01
Kank4os,Kank4os,4.85E-01,?,3.56E-01,-2.81E+00,2.28E+00,6.40E+00
Kansl1,Kansl1,3.67E-01,6.74E-01,1.10E+00,1.10E+00,1.37E+03,1.25E+03
Kansl1l,Kansl1l,4.48E-02,2.35E-01,6.95E-01,-1.44E+00,5.74E+02,8.25E+02
Kansl2,Kansl2,4.43E-01,7.32E-01,8.61E-01,-1.16E+00,1.98E+02,2.30E+02
Kansl2-ps,Kansl2-ps,1.50E-01,4.43E-01,8.01E-01,-1.25E+00,3.04E+02,3.80E+02
Kansl3,Kansl3,3.08E-01,6.22E-01,1.11E+00,1.11E+00,2.06E+03,1.86E+03
Kantr,Kantr,9.74E-01,9.91E-01,1.01E+00,1.01E+00,8.23E+01,8.17E+01
Kars,Kars,8.19E-01,9.35E-01,9.75E-01,-1.03E+00,1.31E+03,1.35E+03
Kat14,Kat14,6.34E-01,8.46E-01,1.09E+00,1.09E+00,4.04E+02,3.70E+02
Kat2a,Kat2a,2.36E-01,5.51E-01,1.20E+00,1.20E+00,4.61E+02,3.83E+02
Kat2b,Kat2b,6.39E-01,8.48E-01,1.07E+00,1.07E+00,1.61E+03,1.50E+03
Kat2b-ps,Kat2b-ps,9.48E-01,9.81E-01,1.02E+00,1.02E+00,3.89E+01,3.80E+01
Kat5,Kat5,6.84E-02,2.99E-01,7.97E-01,-1.26E+00,4.52E+02,5.67E+02
Gm37472,Gm37472,1.85E-04,8.13E-03,1.79E+00,1.79E+00,3.19E+02,1.78E+02
Kat6b,Kat6b,1.25E-01,4.04E-01,1.20E+00,1.20E+00,1.68E+03,1.40E+03
Kat6b-ps1,Kat6b-ps1,7.36E-01,?,6.97E-01,-1.43E+00,3.93E+00,5.64E+00
Kat7,Kat7,4.52E-01,7.37E-01,9.08E-01,-1.10E+00,7.81E+02,8.60E+02
Kat8,Kat8,4.49E-01,7.36E-01,8.47E-01,-1.18E+00,2.62E+02,3.09E+02
Katna1,Katna1,5.57E-01,8.04E-01,8.92E-01,-1.12E+00,1.03E+03,1.16E+03
Gxylt1,Gxylt1,1.52E-04,7.41E-03,1.79E+00,1.79E+00,1.33E+03,7.39E+02
Katnal2,Katnal2,7.35E-01,8.98E-01,8.09E-01,-1.24E+00,1.21E+01,1.49E+01
Katnb1,Katnb1,7.97E-01,9.24E-01,9.49E-01,-1.05E+00,2.01E+02,2.12E+02
Katnbl1,Katnbl1,2.69E-01,5.87E-01,8.11E-01,-1.23E+00,2.14E+02,2.63E+02
Kazald1,Kazald1,6.88E-01,8.76E-01,1.08E+00,1.08E+00,1.82E+02,1.68E+02
Kazn,Kazn,8.81E-01,9.58E-01,1.02E+00,1.02E+00,6.42E+02,6.31E+02
Kbtbd11,Kbtbd11,4.37E-02,2.33E-01,6.72E-01,-1.49E+00,8.56E+01,1.27E+02
Kbtbd12,Kbtbd12,2.38E-01,5.54E-01,4.66E-01,-2.15E+00,1.11E+01,2.39E+01
Kbtbd13,Kbtbd13,8.11E-01,?,8.13E-01,-1.23E+00,6.64E+00,8.16E+00
Kbtbd2,Kbtbd2,1.08E-01,3.76E-01,1.19E+00,1.19E+00,9.38E+02,7.86E+02
Kbtbd3,Kbtbd3,6.32E-01,8.45E-01,8.64E-01,-1.16E+00,7.97E+01,9.22E+01
Kbtbd4,Kbtbd4,3.95E-01,6.96E-01,8.29E-01,-1.21E+00,1.72E+02,2.07E+02
Kbtbd6,Kbtbd6,8.93E-01,?,8.80E-01,-1.14E+00,4.76E+00,5.40E+00
Kbtbd7,Kbtbd7,6.93E-01,8.77E-01,9.32E-01,-1.07E+00,1.64E+02,1.76E+02
Kbtbd8,Kbtbd8,5.46E-01,7.98E-01,8.11E-01,-1.23E+00,3.66E+01,4.51E+01
Kcmf1,Kcmf1,8.02E-01,9.27E-01,1.03E+00,1.03E+00,1.60E+03,1.55E+03
Kcna1,Kcna1,3.90E-01,6.92E-01,7.29E-01,-1.37E+00,3.30E+01,4.53E+01
Tek,Tek,1.58E-04,7.59E-03,5.97E-01,-1.68E+00,3.31E+03,5.55E+03
Kcna3,Kcna3,3.12E-01,?,4.59E-01,-2.18E+00,4.11E+00,8.94E+00
Kcna4,Kcna4,4.65E-01,?,4.20E-01,-2.38E+00,3.81E+00,9.06E+00
Kcna5,Kcna5,4.82E-01,7.56E-01,1.27E+00,1.27E+00,9.69E+01,7.61E+01
Kcna6,Kcna6,3.61E-01,6.70E-01,5.31E-01,-1.88E+00,9.67E+00,1.82E+01
Kcna7,Kcna7,9.29E-03,9.43E-02,2.44E-01,-4.10E+00,4.33E+00,1.77E+01
Kcnab1,Kcnab1,8.70E-01,9.54E-01,1.05E+00,1.05E+00,2.21E+02,2.10E+02
Kcnab2,Kcnab2,5.05E-01,7.70E-01,1.28E+00,1.28E+00,5.11E+01,3.99E+01
Kcnab3,Kcnab3,9.86E-01,?,1.01E+00,1.01E+00,9.00E+00,8.89E+00
Kcnab3os,Kcnab3os,3.06E-01,?,6.37E-02,-1.57E+01,2.94E-01,4.61E+00
Kcnb1,Kcnb1,1.74E-02,1.37E-01,1.97E+00,1.97E+00,1.41E+02,7.15E+01
Kcnb2,Kcnb2,3.56E-01,6.65E-01,1.54E+00,1.54E+00,3.37E+01,2.19E+01
Kcnc1,Kcnc1,2.98E-01,6.15E-01,5.89E-01,-1.70E+00,1.33E+01,2.26E+01
Kcnc2,Kcnc2,3.95E-01,6.96E-01,7.55E-01,-1.33E+00,5.23E+01,6.94E+01
Kcnc3,Kcnc3,2.43E-01,5.60E-01,1.79E+00,1.79E+00,1.48E+01,8.25E+00
Kcnc4,Kcnc4,9.27E-01,9.75E-01,1.06E+00,1.06E+00,7.38E+00,6.93E+00
Zfp142,Zfp142,3.51E-05,2.97E-03,1.79E+00,1.79E+00,1.07E+03,5.95E+02
Kcnd2,Kcnd2,5.23E-02,?,9.16E-02,-1.09E+01,1.64E+00,1.79E+01
Kcnd3,Kcnd3,2.89E-01,6.08E-01,6.60E-01,-1.52E+00,3.12E+01,4.73E+01
Kcnd3os,Kcnd3os,8.87E-01,?,1.33E+00,1.33E+00,2.03E+00,1.53E+00
Kcne1,Kcne1,1.00E+00,?,1.00E+00,1.00E+00,2.56E+00,2.56E+00
Kcne1l,Kcne1l,8.98E-01,?,9.21E-01,-1.09E+00,6.74E+00,7.32E+00
Kcne3,Kcne3,1.18E-01,?,2.16E-01,-4.64E+00,2.48E+00,1.15E+01
Kcne4,Kcne4,4.88E-02,2.47E-01,1.58E+00,1.58E+00,4.59E+02,2.90E+02
Kcnf1,Kcnf1,2.59E-01,?,3.26E-01,-3.07E+00,4.09E+00,1.26E+01
Kcng1,Kcng1,1.24E-01,4.03E-01,4.39E-01,-2.28E+00,2.89E+01,6.59E+01
Gm45223,Gm45223,1.31E-03,2.82E-02,1.79E+00,1.79E+00,2.51E+02,1.40E+02
Kcng3,Kcng3,7.74E-01,?,1.42E+00,1.42E+00,2.76E+00,1.95E+00
Crbn,Crbn,1.33E-03,2.85E-02,5.97E-01,-1.68E+00,3.83E+02,6.42E+02
Kcnh1,Kcnh1,3.17E-01,?,2.19E+00,2.19E+00,1.22E+01,5.54E+00
Kcnh2,Kcnh2,5.15E-01,7.78E-01,7.16E-01,-1.40E+00,1.79E+01,2.49E+01
Kcnh3,Kcnh3,1.24E-01,?,3.20E+00,3.20E+00,1.28E+01,4.00E+00
Kcnh4,Kcnh4,4.27E-02,?,6.34E+00,6.34E+00,9.17E+00,1.45E+00
Kcnh5,Kcnh5,7.03E-01,?,2.17E+00,2.17E+00,2.21E+00,1.02E+00
Kcnh6,Kcnh6,3.99E-01,6.98E-01,6.01E-01,-1.66E+00,7.75E+00,1.29E+01
Kcnh7,Kcnh7,3.18E-02,1.96E-01,2.56E+00,2.56E+00,2.68E+01,1.05E+01
Kcnh8,Kcnh8,4.30E-01,?,2.33E-01,-4.29E+00,1.03E+00,4.41E+00
Kcnip1,Kcnip1,6.27E-01,?,7.11E-01,-1.41E+00,8.33E+00,1.17E+01
Kcnip2,Kcnip2,7.99E-01,?,1.26E+00,1.26E+00,4.91E+00,3.89E+00
Kcnip3,Kcnip3,2.84E-01,6.03E-01,1.39E+00,1.39E+00,5.88E+01,4.22E+01
Kcnip4,Kcnip4,3.41E-01,6.53E-01,5.66E-01,-1.77E+00,8.88E+00,1.57E+01
Kcnj1,Kcnj1,7.30E-01,?,1.47E+00,1.47E+00,5.24E+00,3.56E+00
Kcnj10,Kcnj10,7.68E-01,?,6.63E-01,-1.51E+00,2.71E+00,4.08E+00
Kcnj11,Kcnj11,3.75E-01,6.81E-01,6.49E-01,-1.54E+00,1.68E+01,2.58E+01
Kcnj12,Kcnj12,9.70E-01,9.90E-01,9.80E-01,-1.02E+00,1.68E+01,1.72E+01
Kcnj13,Kcnj13,3.28E-01,?,2.62E+00,2.62E+00,6.22E+00,2.38E+00
Kcnj14,Kcnj14,7.40E-01,9.00E-01,7.73E-01,-1.29E+00,1.58E+01,2.04E+01
Kcnj15,Kcnj15,7.15E-01,8.87E-01,1.21E+00,1.21E+00,1.74E+01,1.44E+01
Kcnj2,Kcnj2,7.81E-01,9.19E-01,1.09E+00,1.09E+00,1.55E+02,1.42E+02
Kcnj3,Kcnj3,1.47E-01,?,8.36E+00,8.36E+00,4.03E+00,4.82E-01
Kcnj4,Kcnj4,6.92E-01,?,1.37E+00,1.37E+00,6.66E+00,4.87E+00
Kcnj5,Kcnj5,4.30E-02,?,1.70E+01,1.70E+01,8.17E+00,4.82E-01
Kcnj6,Kcnj6,7.31E-01,?,6.12E-01,-1.63E+00,2.81E+00,4.60E+00
Kcnj8,Kcnj8,4.68E-01,7.48E-01,8.79E-01,-1.14E+00,2.07E+02,2.35E+02
Kcnj9,Kcnj9,7.46E-01,?,1.30E+00,1.30E+00,4.59E+00,3.53E+00
Kcnk1,Kcnk1,7.07E-01,8.84E-01,8.51E-01,-1.17E+00,2.19E+01,2.57E+01
Kcnk10,Kcnk10,6.46E-01,?,3.85E-01,-2.60E+00,1.97E+00,5.12E+00
Kcnk12,Kcnk12,6.23E-01,?,6.76E-01,-1.48E+00,4.30E+00,6.36E+00
Kcnk13,Kcnk13,6.51E-01,8.56E-01,6.51E-01,-1.54E+00,1.30E+01,2.00E+01
Kcnk15,Kcnk15,7.33E-02,?,2.29E-02,-4.37E+01,1.78E-01,7.79E+00
Kcnk18,Kcnk18,8.47E-01,?,6.91E-01,-1.45E+00,7.02E-01,1.02E+00
Lsamp,Lsamp,3.30E-03,4.96E-02,5.97E-01,-1.67E+00,8.27E+02,1.38E+03
Kcnk3,Kcnk3,2.47E-01,5.64E-01,2.02E+00,2.02E+00,1.59E+01,7.88E+00
Kcnk4,Kcnk4,6.69E-01,?,1.57E+00,1.57E+00,3.11E+00,1.98E+00
Kcnk5,Kcnk5,3.51E-02,2.05E-01,7.14E-01,-1.40E+00,7.44E+02,1.04E+03
Kcnk6,Kcnk6,7.90E-01,9.22E-01,1.06E+00,1.06E+00,1.45E+02,1.37E+02
Kcnk7,Kcnk7,4.00E-01,6.99E-01,1.76E+00,1.76E+00,2.25E+01,1.27E+01
Kcnk9,Kcnk9,4.36E-01,?,5.59E-01,-1.79E+00,6.02E+00,1.08E+01
Kcnma1,Kcnma1,4.61E-01,7.43E-01,1.20E+00,1.20E+00,4.99E+02,4.15E+02
Kcnmb1,Kcnmb1,3.70E-02,2.12E-01,4.93E+00,4.93E+00,1.99E+01,4.04E+00
Kcnmb2,Kcnmb2,8.88E-02,?,1.53E+01,1.53E+01,2.74E+00,1.79E-01
Kcnmb3,Kcnmb3,7.36E-03,?,2.28E+01,2.28E+01,1.11E+01,4.89E-01
Kcnmb4,Kcnmb4,9.64E-01,?,9.46E-01,-1.06E+00,5.80E+00,6.13E+00
Kcnn1,Kcnn1,7.78E-01,9.17E-01,1.07E+00,1.07E+00,1.83E+02,1.70E+02
Kcnn2,Kcnn2,5.08E-01,?,3.91E-01,-2.56E+00,2.16E+00,5.54E+00
Kcnn3,Kcnn3,2.28E-01,5.42E-01,7.86E-01,-1.27E+00,2.62E+02,3.34E+02
Kcnn4,Kcnn4,7.45E-01,9.01E-01,8.24E-01,-1.21E+00,1.74E+01,2.11E+01
Kcnq1,Kcnq1,6.05E-01,8.32E-01,1.51E+00,1.51E+00,1.12E+01,7.41E+00
Adgrl1,Adgrl1,2.61E-04,9.92E-03,1.79E+00,1.79E+00,4.36E+02,2.44E+02
Kcnq2,Kcnq2,9.54E-01,?,1.07E+00,1.07E+00,7.46E+00,6.96E+00
Kcnq3,Kcnq3,3.08E-02,?,1.25E-01,-7.98E+00,2.72E+00,2.17E+01
Kcnq4,Kcnq4,4.91E-01,7.62E-01,8.85E-01,-1.13E+00,1.98E+02,2.24E+02
Kcnq5,Kcnq5,1.42E-01,4.30E-01,5.99E-01,-1.67E+00,4.24E+01,7.09E+01
Kcnrg,Kcnrg,4.09E-02,2.25E-01,3.32E+00,3.32E+00,2.82E+01,8.49E+00
Kcns1,Kcns1,2.49E-01,?,2.47E-01,-4.05E+00,2.02E+00,8.18E+00
Kcns2,Kcns2,9.61E-01,?,1.09E+00,1.09E+00,3.54E+00,3.24E+00
Kcns3,Kcns3,5.58E-01,8.04E-01,1.12E+00,1.12E+00,1.74E+02,1.55E+02
Kcnt1,Kcnt1,1.35E-01,4.20E-01,2.00E+00,2.00E+00,2.06E+01,1.03E+01
Kcnt2,Kcnt2,1.90E-01,4.98E-01,1.34E+00,1.34E+00,5.09E+02,3.80E+02
Kcnu1,Kcnu1,3.95E-01,?,5.09E-01,-1.96E+00,4.96E+00,9.74E+00
Kcnv2,Kcnv2,2.58E-01,5.77E-01,6.16E-01,-1.62E+00,2.08E+01,3.37E+01
Kcp,Kcp,3.97E-01,6.97E-01,1.14E+00,1.14E+00,3.32E+02,2.91E+02
Kctd1,Kctd1,2.10E-01,5.21E-01,1.40E+00,1.40E+00,9.23E+01,6.59E+01
Kctd10,Kctd10,2.40E-01,5.56E-01,1.17E+00,1.17E+00,2.19E+03,1.87E+03
Kctd11,Kctd11,8.33E-01,9.40E-01,9.72E-01,-1.03E+00,4.61E+02,4.74E+02
Kctd12,Kctd12,6.98E-02,3.02E-01,1.24E+00,1.24E+00,2.88E+03,2.33E+03
Kctd12b,Kctd12b,3.60E-01,6.69E-01,8.47E-01,-1.18E+00,2.55E+02,3.01E+02
Kctd13,Kctd13,3.10E-01,6.24E-01,1.29E+00,1.29E+00,1.18E+02,9.19E+01
Kctd14,Kctd14,4.51E-01,?,4.68E-01,-2.14E+00,4.36E+00,9.32E+00
Kctd15,Kctd15,9.66E-01,9.89E-01,1.01E+00,1.01E+00,1.32E+02,1.31E+02
Kctd16,Kctd16,8.36E-01,?,8.14E-01,-1.23E+00,6.45E+00,7.92E+00
Kctd17,Kctd17,4.69E-01,7.49E-01,9.16E-01,-1.09E+00,8.20E+02,8.94E+02
Kctd18,Kctd18,6.78E-01,8.70E-01,1.07E+00,1.07E+00,1.70E+02,1.58E+02
Kctd19,Kctd19,7.08E-01,?,6.51E-01,-1.54E+00,2.65E+00,4.07E+00
Kctd2,Kctd2,9.90E-01,9.97E-01,1.00E+00,1.00E+00,3.19E+02,3.18E+02
Kctd20,Kctd20,2.09E-02,1.52E-01,7.57E-01,-1.32E+00,1.35E+03,1.78E+03
Kctd21,Kctd21,6.24E-01,8.42E-01,8.83E-01,-1.13E+00,7.06E+01,7.99E+01
Kctd3,Kctd3,3.99E-01,6.98E-01,1.09E+00,1.09E+00,5.80E+02,5.33E+02
Kctd4,Kctd4,3.92E-01,6.94E-01,1.87E+00,1.87E+00,2.38E+01,1.28E+01
Kctd5,Kctd5,3.72E-01,6.78E-01,1.12E+00,1.12E+00,3.88E+02,3.47E+02
Kctd6,Kctd6,1.77E-01,4.83E-01,1.28E+00,1.28E+00,2.04E+02,1.59E+02
Kctd7,Kctd7,9.54E-01,9.84E-01,1.01E+00,1.01E+00,9.87E+01,9.77E+01
Kctd8,Kctd8,2.14E-01,?,8.96E+00,8.96E+00,4.45E+00,4.97E-01
Kctd9,Kctd9,6.90E-01,8.76E-01,1.04E+00,1.04E+00,1.18E+03,1.13E+03
Kdelr1,Kdelr1,8.15E-01,9.33E-01,9.73E-01,-1.03E+00,7.65E+02,7.86E+02
Ccdc82,Ccdc82,1.41E-06,2.97E-04,1.79E+00,1.79E+00,1.75E+03,9.80E+02
Kdelr3,Kdelr3,3.81E-01,6.86E-01,8.65E-01,-1.16E+00,4.48E+02,5.18E+02
Kdf1,Kdf1,4.83E-01,?,2.33E+00,2.33E+00,4.73E+00,2.03E+00
Kdm1a,Kdm1a,5.79E-01,8.18E-01,1.06E+00,1.06E+00,1.24E+03,1.17E+03
Kdm1b,Kdm1b,5.92E-01,8.26E-01,9.33E-01,-1.07E+00,5.68E+02,6.09E+02
Kdm2a,Kdm2a,7.99E-02,3.26E-01,1.15E+00,1.15E+00,2.10E+03,1.83E+03
Kdm2b,Kdm2b,1.07E-01,3.74E-01,1.23E+00,1.23E+00,5.42E+02,4.41E+02
Kdm3a,Kdm3a,7.90E-01,9.22E-01,9.62E-01,-1.04E+00,1.46E+03,1.52E+03
Kdm3b,Kdm3b,5.43E-01,7.96E-01,1.06E+00,1.06E+00,2.79E+03,2.62E+03
Kdm4a,Kdm4a,7.43E-01,9.01E-01,9.54E-01,-1.05E+00,1.30E+03,1.36E+03
Kdm4b,Kdm4b,3.65E-02,2.10E-01,7.29E-01,-1.37E+00,7.11E+02,9.76E+02
Kdm4c,Kdm4c,2.13E-02,1.54E-01,7.74E-01,-1.29E+00,8.71E+02,1.12E+03
Kdm4d,Kdm4d,2.43E-01,?,3.46E-01,-2.89E+00,5.49E+00,1.59E+01
Kdm5a,Kdm5a,5.74E-02,2.71E-01,1.17E+00,1.17E+00,2.67E+03,2.28E+03
Kdm5b,Kdm5b,5.29E-02,2.59E-01,8.36E-01,-1.20E+00,1.56E+03,1.86E+03
Kdm5c,Kdm5c,1.88E-01,4.96E-01,1.22E+00,1.22E+00,2.04E+03,1.67E+03
Kdm5d,Kdm5d,9.58E-01,9.86E-01,1.09E+00,1.09E+00,2.49E+02,2.28E+02
Kdm6a,Kdm6a,3.32E-01,6.44E-01,1.20E+00,1.20E+00,9.14E+02,7.62E+02
Kdm6b,Kdm6b,1.12E-02,1.05E-01,1.78E+00,1.78E+00,1.70E+04,9.57E+03
Kdm6bos,Kdm6bos,7.54E-02,3.16E-01,1.71E+00,1.71E+00,1.32E+02,7.77E+01
Kdm7a,Kdm7a,3.92E-02,2.19E-01,1.40E+00,1.40E+00,2.11E+03,1.52E+03
Kdm8,Kdm8,3.37E-01,6.49E-01,8.01E-01,-1.25E+00,6.42E+01,8.02E+01
Kdr,Kdr,9.24E-01,9.74E-01,1.02E+00,1.02E+00,1.12E+03,1.10E+03
Kdsr,Kdsr,3.96E-01,6.97E-01,8.89E-01,-1.12E+00,6.99E+02,7.86E+02
Keap1,Keap1,3.45E-01,6.56E-01,8.41E-01,-1.19E+00,4.27E+02,5.08E+02
Keg1,Keg1,2.16E-02,?,7.21E-02,-1.39E+01,9.60E-01,1.33E+01
Kera,Kera,1.24E-01,4.02E-01,3.41E-01,-2.94E+00,1.16E+02,3.41E+02
Khdc1a,Khdc1a,5.77E-02,?,3.49E-02,-2.86E+01,2.94E-01,8.40E+00
Khdc1b,Khdc1b,9.04E-01,?,8.14E-01,-1.23E+00,1.92E+00,2.36E+00
Khdc4,Khdc4,9.31E-01,9.76E-01,1.02E+00,1.02E+00,9.33E+02,9.16E+02
Khdrbs1,Khdrbs1,6.18E-03,7.33E-02,1.26E+00,1.26E+00,2.50E+03,1.98E+03
Khdrbs2,Khdrbs2,7.24E-01,?,6.13E-01,-1.63E+00,3.76E+00,6.14E+00
Khdrbs3,Khdrbs3,8.36E-01,9.42E-01,1.03E+00,1.03E+00,8.56E+02,8.35E+02
Khk,Khk,1.01E-01,3.63E-01,7.18E-01,-1.39E+00,1.24E+02,1.72E+02
Khnyn,Khnyn,1.43E-02,1.22E-01,1.35E+00,1.35E+00,1.62E+03,1.20E+03
Khsrp,Khsrp,1.57E-01,4.54E-01,1.17E+00,1.17E+00,2.14E+03,1.83E+03
Kidins220,Kidins220,3.20E-02,1.96E-01,1.24E+00,1.24E+00,3.31E+03,2.68E+03
Kif11,Kif11,6.43E-01,8.50E-01,8.72E-01,-1.15E+00,4.42E+01,5.06E+01
Kif13a,Kif13a,6.26E-03,7.39E-02,1.36E+00,1.36E+00,1.80E+03,1.32E+03
Kif13b,Kif13b,5.35E-01,7.90E-01,1.08E+00,1.08E+00,2.94E+03,2.71E+03
Kif14,Kif14,9.20E-01,9.72E-01,9.38E-01,-1.07E+00,1.47E+01,1.57E+01
Kif15,Kif15,5.36E-01,7.91E-01,7.51E-01,-1.33E+00,1.87E+01,2.49E+01
Kif16b,Kif16b,4.61E-02,2.39E-01,1.41E+00,1.41E+00,9.75E+02,6.92E+02
Kif17,Kif17,6.38E-01,8.48E-01,1.28E+00,1.28E+00,1.53E+01,1.20E+01
Kif18a,Kif18a,4.24E-01,7.18E-01,6.73E-01,-1.49E+00,2.80E+01,4.16E+01
Kif18b,Kif18b,4.78E-02,?,2.04E-01,-4.91E+00,2.70E+00,1.33E+01
Kif19a,Kif19a,8.73E-01,9.55E-01,1.08E+00,1.08E+00,3.52E+01,3.25E+01
Kif1a,Kif1a,9.86E-01,9.96E-01,9.93E-01,-1.01E+00,5.43E+01,5.46E+01
Kif1b,Kif1b,1.45E-01,4.36E-01,1.13E+00,1.13E+00,4.96E+03,4.38E+03
Kif1c,Kif1c,2.18E-01,5.32E-01,1.15E+00,1.15E+00,3.97E+03,3.46E+03
Kif20a,Kif20a,4.67E-01,7.47E-01,1.35E+00,1.35E+00,3.03E+01,2.24E+01
Kif20b,Kif20b,9.04E-01,9.66E-01,9.62E-01,-1.04E+00,6.16E+01,6.40E+01
Tmem245,Tmem245,5.29E-04,1.59E-02,1.78E+00,1.78E+00,9.08E+02,5.10E+02
Kif21b,Kif21b,6.28E-01,8.43E-01,8.80E-01,-1.14E+00,3.33E+02,3.79E+02
Kif22,Kif22,5.38E-01,7.92E-01,1.49E+00,1.49E+00,1.89E+01,1.27E+01
Kif23,Kif23,8.94E-02,3.41E-01,5.44E-01,-1.84E+00,2.74E+01,5.04E+01
Kif24,Kif24,2.80E-01,6.00E-01,1.24E+00,1.24E+00,1.71E+02,1.37E+02
Kif26a,Kif26a,1.74E-01,4.78E-01,1.47E+00,1.47E+00,1.31E+02,8.85E+01
Kif26b,Kif26b,6.57E-01,8.59E-01,8.02E-01,-1.25E+00,1.92E+01,2.40E+01
Kif27,Kif27,8.32E-01,9.40E-01,1.08E+00,1.08E+00,3.55E+01,3.28E+01
Kif2a,Kif2a,1.05E-01,3.71E-01,8.03E-01,-1.25E+00,1.42E+03,1.77E+03
Kif2b,Kif2b,3.44E-01,?,1.38E-01,-7.27E+00,4.93E-01,3.58E+00
Kif2c,Kif2c,1.69E-01,?,3.21E-01,-3.12E+00,4.46E+00,1.39E+01
Kif3a,Kif3a,3.21E-01,6.35E-01,8.99E-01,-1.11E+00,6.38E+02,7.10E+02
Kif3b,Kif3b,4.31E-01,7.23E-01,8.81E-01,-1.13E+00,6.24E+02,7.08E+02
Kif3c,Kif3c,4.85E-01,7.58E-01,9.26E-01,-1.08E+00,5.49E+02,5.93E+02
Kif4,Kif4,5.83E-01,8.20E-01,6.86E-01,-1.46E+00,1.24E+01,1.80E+01
Kif4-ps,Kif4-ps,7.13E-01,?,5.55E-01,-1.80E+00,2.65E+00,4.77E+00
Kif5a,Kif5a,4.28E-02,2.30E-01,1.55E+00,1.55E+00,2.22E+02,1.43E+02
Kif5b,Kif5b,5.50E-02,2.65E-01,1.19E+00,1.19E+00,4.67E+03,3.91E+03
Kif5c,Kif5c,5.07E-01,7.71E-01,1.17E+00,1.17E+00,8.83E+01,7.55E+01
Kif6,Kif6,8.20E-01,9.36E-01,8.39E-01,-1.19E+00,1.67E+01,1.99E+01
Kif7,Kif7,2.08E-01,5.20E-01,1.32E+00,1.32E+00,2.79E+02,2.12E+02
Kif9,Kif9,6.99E-01,8.79E-01,8.82E-01,-1.13E+00,4.00E+01,4.54E+01
Kifap3,Kifap3,2.68E-01,5.87E-01,8.80E-01,-1.14E+00,9.28E+02,1.06E+03
Kifbp,Kifbp,1.82E-01,4.88E-01,8.38E-01,-1.19E+00,8.13E+02,9.71E+02
Kifc1,Kifc1,1.93E-01,5.02E-01,4.75E-01,-2.10E+00,1.75E+01,3.69E+01
Kifc2,Kifc2,6.47E-01,8.53E-01,8.55E-01,-1.17E+00,6.43E+01,7.52E+01
Kifc3,Kifc3,5.76E-01,8.16E-01,1.10E+00,1.10E+00,2.37E+02,2.15E+02
Kifc5b,Kifc5b,9.33E-02,3.49E-01,2.37E+00,2.37E+00,1.98E+01,8.35E+00
Kin,Kin,9.17E-01,9.71E-01,1.02E+00,1.02E+00,2.60E+02,2.56E+02
Kirrel,Kirrel,7.38E-02,3.12E-01,1.29E+00,1.29E+00,4.44E+03,3.43E+03
Kirrel2,Kirrel2,7.34E-01,?,5.92E-01,-1.69E+00,3.33E+00,5.63E+00
Kirrel3,Kirrel3,5.97E-01,8.28E-01,1.15E+00,1.15E+00,7.40E+01,6.40E+01
Kirrel3os,Kirrel3os,6.23E-01,8.42E-01,7.32E-01,-1.37E+00,1.03E+01,1.41E+01
